Issue Severity,Endpoint,Section,Tree,Field Path,Field Name,Type,YML Description,Real Description (from code),Code Reference,Match?,Notes
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,action,action,action,string,"Action name.","Fixed value 'CALCULATE_DISCOUNTS'. Identifies the request type to the external discounts system. Defined in TicketUtils.js → getCalculateDiscountsAction().","TicketUtils.js#L75 → getCalculateDiscountsAction() devuelve 'CALCULATE_DISCOUNTS'; TicketUtils.js#L230 → buildRequest() lo asigna a commonRequestData.action",Parcial,"La descripción del YML es genérica ('Action name'). En realidad siempre es el valor fijo 'CALCULATE_DISCOUNTS' para este endpoint."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,terminal,terminal,terminal,object,"Common terminal object (injected from commonClientAPIProperties-schema)","Terminal object built in createRequestHeader() with terminal.searchKey, context.user.username, terminal.language_string, terminal.groupBusinessUnitSK, terminal.terminalType.name.","TicketUtils.js#L196-L203 → createRequestHeader() construye terminal con ID, operator, locale, businessUnit, touchpointType",OK,"Descripción correcta. Se inyecta desde el schema común."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,serviceId,serviceId,serviceId,string,"Common service ID (injected from commonClientAPIProperties-schema)","Random 10-digit ID generated with crypto.getRandomValues(). Uniquely identifies each call.","TicketUtils.js#L189-L192 → createServiceID() genera array de 10 bytes aleatorios convertidos a dígitos 0-9; TicketUtils.js#L204 → createRequestHeader() lo asigna",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,sessionId,sessionId,sessionId,string,"Session ID that identifies the current session.","Session ID extracted from the last external response stored in ticket.cdiscExternalresponse. If there is no previous response it returns null.","TicketUtils.js#L218 → getSessionId() parsea ticket.cdiscExternalresponse y extrae response.data.sessionId; TicketUtils.js#L231 → buildRequest() lo asigna",Parcial,"La descripción del YML es correcta pero incompleta: no menciona que se extrae de la respuesta anterior ni que puede ser null en la primera llamada."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,├── id,data.id,id,string,"ID of the Ticket being handled.","ID of the current ticket. Also used in the response to validate that it matches the current ticket.","TicketUtils.js#L549 → getTicketToSend() asigna ticket.id; TicketUtils.js#L601 → generateOBDiscounts() compara currentTicket.id !== extEngineResponse.ticket.id",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,├── organization,data.organization,organization,object,"Object that contains information of the organization doing the request.","Object with organization info. Built in createRequestHeader() from context.organization.","TicketUtils.js#L206-L210 → createRequestHeader() construye data.organization con id, _identifier, searchKey del contexto",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── id,data.organization.id,id,string,"Organization ID.","Organization ID from the terminal context.","TicketUtils.js#L207 → createRequestHeader() lo obtiene de context.organization.id",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── _identifier,data.organization._identifier,_identifier,string,"Name of the Organization.","Organization name from the terminal context.","TicketUtils.js#L209 → createRequestHeader() lo obtiene de context.organization._identifier",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   └── searchKey,data.organization.searchKey,searchKey,string,"Searchkey of the Organization.","Search key of the organization from the terminal context.","TicketUtils.js#L210 → createRequestHeader() lo obtiene de context.organization.searchKey",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,├── priceIncludesTax,data.priceIncludesTax,priceIncludesTax,boolean,"Boolean that indicates whether the prices includes taxes or not in the system.","Indicates whether prices include taxes. Determines which price fields are sent in the lines (gross vs net).","TicketUtils.js#L564 → getTicketToSend() lo copia de ticket.priceIncludesTax; TicketUtils.js#L513-L533 → reduceLines() usa isPriceIncludingTaxes para decidir si enviar baseGrossUnitPrice/grossUnitPrice o baseNetUnitPrice/netUnitPrice",Parcial,"La descripción del YML es correcta pero no menciona que condiciona qué campos de precio se envían en las líneas."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,├── externalBusinessPartner,data.externalBusinessPartner,externalBusinessPartner,object,"Object that contains the external business partner information.","Object with external BP information. Free structure (untyped), comes from CRM integrations.","TicketUtils.js#L562 → getTicketToSend() lo copia de ticket.externalBusinessPartner",Parcial,"La descripción del YML es muy escueta. No indica que su estructura es libre y depende de la integración CRM."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,├── externalBPReference,data.externalBusinessPartnerReference,externalBusinessPartnerReference,string,"Reference ID of the external BP when using CRM Connector.","External BP reference for CRM Connector.","TicketUtils.js#L563 → getTicketToSend() lo copia de ticket.externalBusinessPartnerReference",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,├── lines,data.lines,lines,array,"Array of Objects that represents the lines in the ticket.","Array of ticket lines. Built in reduceLines() by mapping each line with its product, conditional prices (gross/net), taxes and promotionsFromOBEngine.","TicketUtils.js#L484-L534 → reduceLines() mapea lines con getProductObject(), lineTaxArray() y precios condicionales",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── id,data.lines[].id,id,string,"line ID.","Unique ID of the ticket line. Used in the response to match the returned discounts with the ticket lines.","TicketUtils.js#L514 → reduceLines() asigna line.id; TicketUtils.js#L684 → generateOBDiscounts() usa linesToApply: [line.id]",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── product,data.lines[].product,product,object,"Object containing product related information.","Object with product info. Built in getProductObject() by mapping internal fields to API names.","TicketUtils.js#L247-L261 → getProductObject() construye el objeto con id, _identifier, upc, searchkey, searchKey, standardPrice, listPrice, useExtPromotions, uOM",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── id,data.lines[].product.id,id,string,"Product ID.","Product ID. Obtained from the line's product object.","TicketUtils.js#L251 → getProductObject() asigna product.id",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── _identifier,data.lines[].product._identifier,_identifier,string,"Product name.","Product name.","TicketUtils.js#L253 → getProductObject() asigna product._identifier",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── upc,data.lines[].product.upc,upc,string,"UPC of the product.","UPC/EAN code of the product. In the code it is mapped from product.uPCEAN (internal name) to 'upc' (API name).","TicketUtils.js#L254 → getProductObject() asigna product.uPCEAN como upc",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── searchKey,data.lines[].product.searchKey,searchKey,string,"Search key of the product.","Search key of the product. NOTE: it is sent duplicated as 'searchkey' (lowercase) and 'searchKey' (camelCase) for compatibility. The code comments: 'searchKey is duplicated to fix inconsistent naming but avoid to break the API'.","TicketUtils.js#L255-L256 → getProductObject() asigna product.searchkey en ambas variantes",Parcial,"El YML solo documenta searchKey pero en realidad se envían dos campos (searchkey y searchKey) por retrocompatibilidad."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── listPrice,data.lines[].product.listPrice,listPrice,number,"List Price defined for the product.","List price of the product.","TicketUtils.js#L258 → getProductObject() asigna product.listPrice",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── standardPrice,data.lines[].product.standardPrice,standardPrice,number,"Standard Price defined for the product.","Standard price of the product.","TicketUtils.js#L257 → getProductObject() asigna product.standardPrice",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── useExtPromotions,data.lines[].product.useExtPromotions,useExtPromotions,boolean,"Indicates if a product is candidate for external promotions. It is an informative field and only valid if an external system has filled it. Otherwise it can be ignored.","Indicates if the product is a candidate for external promotions. Informative field filled by the external system.","TicketUtils.js#L259 → getProductObject() asigna product.useExtPromotions",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   └── uOM,data.lines[].product.uOM,uOM,string,"Unit of Measure of the product.","Unit of measure of the product. In the code it is mapped from product.uOMname (internal name) to 'uOM' (API name).","TicketUtils.js#L260 → getProductObject() asigna product.uOMname como uOM",Parcial,"La descripción del YML es correcta pero no menciona que internamente el campo se llama uOMname y se renombra a uOM para la API."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   ├── qty,data.lines[].qty,qty,number,"Quantity of products in the line.","Quantity of products in the line. Also used in isValidFlow() to verify that at least one line has qty >= 1 (if there are no positive lines the external system is not called).","TicketUtils.js#L516 → reduceLines() asigna line.qty; TicketUtils.js#L161 → isValidFlow() valida line.qty >= 1",Parcial,"La descripción del YML es correcta pero no menciona que se usa también para validar si el flujo externo aplica."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── baseGrossUnitPrice,data.lines[].baseGrossUnitPrice,baseGrossUnitPrice,number,"If priceIncludesTax = true baseGrossUnitPrice will be received.","Base gross unit price (with taxes). Only sent if priceIncludesTax is true.","TicketUtils.js#L525 → reduceLines() lo incluye condicionalmente cuando isPriceIncludingTaxes es true",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   ├── grossUnitPrice,data.lines[].grossUnitPrice,grossUnitPrice,number,"If priceIncludesTax = true grossUnitPrice will be received.","Current gross unit price (with taxes and possible discounts already applied). Only sent if priceIncludesTax is true.","TicketUtils.js#L526 → reduceLines() lo incluye condicionalmente cuando isPriceIncludingTaxes es true",Parcial,"La descripción del YML no aclara la diferencia con baseGrossUnitPrice: base es el precio original y gross es el precio actual tras descuentos."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── baseNetUnitPrice,data.lines[].baseNetUnitPrice,baseNetUnitPrice,number,"If priceIncludesTax = false baseNetUnitPrice will be received.","Base net unit price (without taxes). Only sent if priceIncludesTax is false.","TicketUtils.js#L531 → reduceLines() lo incluye condicionalmente cuando isPriceIncludingTaxes es false",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   ├── netUnitPrice,data.lines[].netUnitPrice,netUnitPrice,number,"If priceIncludesTax = false netUnitPrice will be received.","Current net unit price (without taxes and possible discounts already applied). Only sent if priceIncludesTax is false.","TicketUtils.js#L532 → reduceLines() lo incluye condicionalmente cuando isPriceIncludingTaxes es false",Parcial,"La descripción del YML no aclara la diferencia con baseNetUnitPrice: base es el precio original y net es el precio actual tras descuentos."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── isFirm,data.lines[].isFirm,isFirm,boolean,"Boolean that indicates if the price is Firm or not (it covers the quotation to sales order flow).","Indicates if the price is firm. Used in the quotation to sales order flow.","TicketUtils.js#L517 → reduceLines() asigna line.isFirm",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   ├── lineNo,data.lines[].lineNo,lineNo,number,"Numerical only value assigned to each (it can change between calls).","Line number. Dynamically calculated as (index + 1) * 10 on each call. NOT copied from the original ticket but recalculated.","TicketUtils.js#L518 → reduceLines() calcula (index + 1) * 10",Parcial,"La descripción del YML dice 'it can change between calls' lo cual es correcto pero no explica que se recalcula como múltiplos de 10 basado en el índice."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── taxes,data.lines[].taxes,taxes,array,"Array containing the tax information for the line.","Array of taxes for the line. Built in lineTaxArray() by mapping each tax with id, lineNo, amount, searchKey, name, net, rate, taxBase.","TicketUtils.js#L465-L478 → lineTaxArray() mapea Object.values(taxes) extrayendo 8 campos de cada tax",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── id,data.lines[].taxes[].id,id,string,"Tax ID.","ID of the tax applied to the line.","TicketUtils.js#L469 → lineTaxArray() asigna tax.id",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── lineNo,data.lines[].taxes[].lineNo,lineNo,number,"Line number associated with the tax.","Line number associated with the tax.","TicketUtils.js#L470 → lineTaxArray() asigna tax.lineNo",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── amount,data.lines[].taxes[].amount,amount,number,"Tax amount.","Tax amount.","TicketUtils.js#L471 → lineTaxArray() asigna tax.amount",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── searchKey,data.lines[].taxes[].searchKey,searchKey,string,"Search key of the tax.","Search key of the tax.","TicketUtils.js#L472 → lineTaxArray() asigna tax.searchKey",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── name,data.lines[].taxes[].name,name,string,"Name of the tax.","Tax name.","TicketUtils.js#L473 → lineTaxArray() asigna tax.name",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── net,data.lines[].taxes[].net,net,number,"Net amount after tax.","Net amount of the line for this tax (tax base).","TicketUtils.js#L474 → lineTaxArray() asigna tax.net",Parcial,"La descripción 'Net amount after tax' es confusa. En realidad es el importe neto (base) sobre el que se calcula el impuesto, no 'después del impuesto'."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── rate,data.lines[].taxes[].rate,rate,number,"Tax rate percentage.","Tax rate percentage.","TicketUtils.js#L475 → lineTaxArray() asigna tax.rate",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   └── taxBase,data.lines[].taxes[].taxBase,taxBase,number,"Base amount for tax calculation.","Base amount for tax calculation.","TicketUtils.js#L476 → lineTaxArray() asigna tax.taxBase",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   ├── promotionsFromOBEngine,data.lines[].promotionsFromOBEngine,promotionsFromOBEngine,array,"Array containing the information of the discounts calculated in the OB Discount engine","Array of discounts calculated by the OB engine. Built in reduceLines() by searching each line in discountsFromOB and mapping its discounts with getDiscountBySearchKey() to resolve the discountTypeSearchKey.","TicketUtils.js#L489-L510 → reduceLines() busca lineDiscount en discountsFromOB.lines y mapea discounts con ruleId, name, searchKey, applyMethod, discountType, value, amount, percentage, unitDiscount, isTotalDiscount",OK,"Descripción correcta."
🔴 BUG,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── id,data.lines[].promotionsFromOBEngine[].id,id,string,"Discount ID.","ID of the discount rule (ruleId). Mapped from d.ruleId of the OB engine, not from d.id.","TicketUtils.js#L499 → reduceLines() asigna d.ruleId como id",Incorrecto,"El YML dice 'Discount ID' pero en realidad se asigna d.ruleId (el ID de la regla), no el ID del descuento aplicado."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── searchKey,data.lines[].promotionsFromOBEngine[].searchKey,searchKey,string,"Search key of the discount.","Search key of the discount. Used to look up the discount rule in the POS (getDiscountBySearchKey) and obtain the discountTypeSearchKey.","TicketUtils.js#L493 → getDiscountBySearchKey(d.searchKey); TicketUtils.js#L501 → asigna d.searchKey",Parcial,"La descripción es correcta pero no menciona que se usa para resolver el tipo de descuento internamente."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── name,data.lines[].promotionsFromOBEngine[].name,name,string,"Name of the discount.","Discount name calculated by the OB engine.","TicketUtils.js#L500 → reduceLines() asigna d.name",OK,"Descripción correcta."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── discountType,data.lines[].promotionsFromOBEngine[].discountType,discountType,string,"Search key of the discount type.","Discount type. Copied directly from d.discountType of the OB engine.","TicketUtils.js#L503 → reduceLines() asigna d.discountType",OK,"Descripción correcta."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── value,data.lines[].promotionsFromOBEngine[].value,value,string,"Identifier of the discount type.","Search key of the discount type resolved from the POS rule. Obtained by looking up the rule by searchKey and extracting discountRule.discountTypeSearchKey. If not found it remains undefined.","TicketUtils.js#L493-L496 → getDiscountBySearchKey(d.searchKey) resuelve discountRule; TicketUtils.js#L504 → asigna discountTypeSearchKey || undefined",Parcial,"La descripción del YML 'Identifier of the discount type' es vaga. En realidad es el discountTypeSearchKey resuelto desde las reglas del POS y puede ser undefined."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── applyMethod,data.lines[].promotionsFromOBEngine[].applyMethod,applyMethod,string,"Discount application method like automatic or discretionary.","Discount application method (e.g.: 'automatic', 'discretionary', 'optional').","TicketUtils.js#L502 → reduceLines() asigna d.applyMethod",Parcial,"La descripción del YML no menciona el valor 'optional' que también es válido (usado en DiscountsEngineSimulator.js para descuentos opcionales)."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── amount,data.lines[].promotionsFromOBEngine[].amount,amount,number,"Discount amount.","Discount amount. Mapped from d.amt (OB engine internal name) to 'amount' (API name).","TicketUtils.js#L505 → reduceLines() asigna d.amt como amount",Parcial,"La descripción del YML es correcta pero no menciona que internamente el campo se llama 'amt' y se renombra a 'amount' para la API."
ℹ️ MEJORABLE,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── percentage,data.lines[].promotionsFromOBEngine[].percentage,percentage,number,"Discount percentage applicable for percentage discounts.","Discount percentage. Mapped from d.discountPercentage. If it does not exist it remains undefined.","TicketUtils.js#L506 → reduceLines() asigna d.discountPercentage || undefined",Parcial,"La descripción del YML es correcta pero no menciona que puede ser undefined si el descuento no es de tipo porcentaje."
✅ OK,CALCULATE_DISCOUNTS,REQUEST,│   │   ├── unitDiscount,data.lines[].promotionsFromOBEngine[].unitDiscount,unitDiscount,number,"Discount amount per quantity unit.","Discount amount per quantity unit.","TicketUtils.js#L507 → reduceLines() asigna d.unitDiscount",OK,"Descripción correcta."
